"annotation"	"coefficient.agl"	"pvalue.agl"	"adj.pvalue.agl"
"STMN4"	7.65947490263392	2.33939102435454e-21	1.02771787090919e-16
"AHSG"	-9.36245355861893	5.76447662234234e-21	1.26619611248061e-16
"HBG1"	-9.64885817960269	1.51412320266756e-20	2.21723154721296e-16
"SPARCL1"	8.96468304480485	3.25729435998612e-20	2.60120715896255e-16
"STMN2"	9.43986742583778	4.1360579495178e-20	2.60120715896255e-16
"SCN2B"	6.88591996311387	4.43306400357618e-20	2.60120715896255e-16
"CHN1"	6.25781022937221	4.58658176321591e-20	2.60120715896255e-16
"DKFZp761H039"	6.12152905146209	4.73689587573704e-20	2.60120715896255e-16
"TFF1"	-8.47431932074363	8.18188169406977e-20	3.99375827446865e-16
"SNAP25"	7.36373276494132	1.07643798923514e-19	4.52186533889528e-16
"OLFM1"	6.32328255609272	1.22130356570598e-19	4.52186533889528e-16
"SLC1A3"	6.06791023823016	1.31846620041419e-19	4.52186533889528e-16
"TTYH1"	5.54802506027184	1.42450170938566e-19	4.52186533889528e-16
"APC2"	6.10572378068375	1.50147449394209e-19	4.52186533889528e-16
"BIRC5"	-6.69378081780415	1.57099461865978e-19	4.52186533889528e-16
"ATP6V1G2"	7.11959476949528	1.64689730309632e-19	4.52186533889528e-16
"STMN2"	8.45438038839181	1.86404273716239e-19	4.67436584248558e-16
"TU3A"	8.19372456969342	1.91524402277982e-19	4.67436584248558e-16
"IGFBP1"	-6.80918119792442	2.20145746719579e-19	4.84935102362585e-16
"DNM3"	7.13468517115668	2.38466859960745e-19	4.84935102362585e-16
"ITGB7"	-7.11069631345029	2.53419930621422e-19	4.84935102362585e-16
"HOP"	6.21904836246947	2.6141962856525e-19	4.84935102362585e-16
"CRYAB"	6.9472025340914	2.68272876879244e-19	4.84935102362585e-16
"THC2373072"	5.9424397367518	2.76036139912516e-19	4.84935102362585e-16
"APOA1"	-5.63599771464171	2.85083333276217e-19	4.84935102362585e-16
"MLPH"	-5.43112420723965	2.87002632797506e-19	4.84935102362585e-16
"GDF15"	-6.33573522563015	2.98960415545866e-19	4.86430741309091e-16
"APC2"	7.04565038674631	3.38739911681019e-19	5.3147082357353e-16
"MLC1"	6.07499871481052	3.81813175031854e-19	5.78394296287047e-16
"MT3"	8.61641044606179	4.35653733690904e-19	6.22297155647633e-16
"SCHIP1"	4.83321235653821	4.39125260637741e-19	6.22297155647633e-16
"APOH"	-6.64387271870952	4.66250517366915e-19	6.33129331779009e-16
"A2BP1"	6.8078398858238	4.77387208440101e-19	6.33129331779009e-16
"AHSG"	-7.64146772699901	4.90004718319326e-19	6.33129331779009e-16
"ATP1A2"	6.81640919612421	5.31056359071092e-19	6.66566768867204e-16
"KIF5A"	5.67613324222671	6.27327995142132e-19	7.59660473741253e-16
"OLIG1"	5.32870867180916	6.39808734798351e-19	7.59660473741253e-16
"A_24_P109661"	-5.82208211716255	7.04578830561948e-19	8.1454875277413e-16
"TUBA6"	-5.00571529040649	7.26153141075546e-19	8.17964965143328e-16
"TK1"	-5.11766775614395	8.08584830930877e-19	8.69154060511484e-16
"COX7A1"	6.36399618460114	8.11165611549267e-19	8.69154060511484e-16
"CNTN2"	7.3799702228257	9.11213089755129e-19	9.30647256504663e-16
"HBB"	9.07858040942311	9.29626416236076e-19	9.30647256504663e-16
"GABRG2"	5.79203039635754	9.32108972848448e-19	9.30647256504663e-16
"ENST00000332292"	-5.6063278624627	1.10934416761194e-18	1.08299108060801e-15
"A_23_P435390"	-6.89705338927813	1.15743036768331e-18	1.1053711626673e-15
"HBZ"	-7.00846733141187	1.22738584185073e-18	1.14724015783712e-15
"KIAA0513"	5.33807972948816	1.29906409345058e-18	1.1780696919585e-15
"AY172962"	-8.3047020329749	1.34362040672251e-18	1.1780696919585e-15
"HMP19"	6.58064027587139	1.36895065202448e-18	1.1780696919585e-15
"DHRS2"	-6.58816070583815	1.38318483005557e-18	1.1780696919585e-15
"MAGEA2B"	-5.97394671511287	1.40437971938538e-18	1.1780696919585e-15
"LOC132391"	-5.39333223822976	1.42126729812206e-18	1.1780696919585e-15
"CA10"	5.86702905259656	1.61358644719608e-18	1.31271233725502e-15
"NEUROD2"	7.26979972616457	1.64845319518935e-18	1.31575403234991e-15
"SV2B"	6.86302939439907	1.69131274972815e-18	1.31575403234991e-15
"SILV"	-8.00332228133981	1.72664234268622e-18	1.31575403234991e-15
"ENST00000331037"	-5.28523505436641	1.75017566215478e-18	1.31575403234991e-15
"KALRN"	5.71717479248957	1.78285941998389e-18	1.31575403234991e-15
"SNIP"	6.29440725800628	1.79702811092383e-18	1.31575403234991e-15
"CCK"	7.8602132060963	1.84599861961626e-18	1.3229427998874e-15
"SLC32A1"	4.99796005367826	1.86707458498598e-18	1.3229427998874e-15
"A_24_P584463"	-5.66202424514427	2.1648364658433e-18	1.50322275278589e-15
"CPLX3"	5.06764025662114	2.18994004639769e-18	1.50322275278589e-15
"ALB"	-8.84570858936052	2.26060807543631e-18	1.52785805172296e-15
"FGG"	-5.40295187741156	2.53094230453407e-18	1.65898840557079e-15
"GRIN2C"	6.62081878520661	2.56341917759357e-18	1.65898840557079e-15
"DUSP26"	7.07666271591378	2.57072535588922e-18	1.65898840557079e-15
"MYC"	-4.98723836189959	2.60568163675729e-18	1.65898840557079e-15
"PTGDS"	8.02082175166752	2.79121622926521e-18	1.75172743096928e-15
"TU3A"	7.48060466590245	2.88040713077048e-18	1.7822417698856e-15
"GATM"	5.00328855181354	2.94652534089221e-18	1.797830621538e-15
"GPR158"	4.95783919418313	2.98993981559175e-18	1.79932939779125e-15
"CHGB"	6.84925196297723	3.41159696539783e-18	1.986435326832e-15
"NEFL"	6.82829913203019	3.41689789859855e-18	1.986435326832e-15
"PACSIN1"	6.52731125298447	3.46557500286011e-18	1.986435326832e-15
"A_24_P306704"	-5.73334179527908	3.48172179477052e-18	1.986435326832e-15
"UCHL1"	4.67729330853159	3.82337100779178e-18	2.15339117619616e-15
"IGSF21"	5.73724003219973	3.92964028518075e-18	2.18522819453513e-15
"A_24_P186746"	-5.60495626426145	4.32400624027603e-18	2.34553264132214e-15
"CNDP1"	6.67525939695218	4.32469426935634e-18	2.34553264132214e-15
"TYR"	-5.40683147565825	4.52776895067351e-18	2.42572460697607e-15
"GPM6A"	8.03297064215516	4.59485246089027e-18	2.43200558384784e-15
"APOA2"	-6.80812034010908	4.7173008249305e-18	2.44760250508141e-15
"DIRAS2"	4.81666023129088	4.73574953750017e-18	2.44760250508141e-15
"TFPI2"	-5.49275343531056	4.88381555020927e-18	2.4947779178633e-15
"LOC91353"	-6.28478739369572	5.04546876970693e-18	2.53600529002975e-15
"CDC2"	-5.00299690887	5.0799769074826e-18	2.53600529002975e-15
"SCN4B"	4.78526402368249	5.26701673596732e-18	2.59196075507631e-15
"AK054939"	6.01741822516079	5.31006505558416e-18	2.59196075507631e-15
"TMEM35"	5.31241645374265	5.39851036048746e-18	2.60617536974258e-15
"IGLL1"	-6.28740051334575	5.58905475544212e-18	2.66883439631878e-15
"DPP6"	5.5889031523043	5.97048748852279e-18	2.82031705223973e-15
"CRYM"	6.32034697827748	6.03543208540008e-18	2.82066560578416e-15
"EZH2"	-4.3585643327306	6.24105794736455e-18	2.82778873394155e-15
"FLJ37266"	5.20131969100017	6.29735707066292e-18	2.82778873394155e-15
"NRXN2"	5.2355197500241	6.31707382965048e-18	2.82778873394155e-15
"NFE2"	-4.42095413100373	6.35701677434121e-18	2.82778873394155e-15
"GAGE7"	-6.55465361793068	6.39177867221469e-18	2.82778873394155e-15
"A_24_P418687"	-5.38643731315735	6.43688678596333e-18	2.82778873394155e-15
"LOC440360"	4.73893467982037	6.5718710787441e-18	2.85850364713175e-15
"CLDN5"	6.96153908412593	6.69365770916542e-18	2.88293212569947e-15
"BE816002"	5.76728703979576	6.88280561086409e-18	2.92155896968008e-15
"FEZ1"	4.31170116419481	6.97438734445235e-18	2.92155896968008e-15
"MGC39606"	4.97721967709615	6.98285246901751e-18	2.92155896968008e-15
"CSF1R"	5.27003415948252	7.20127644757392e-18	2.98398211591103e-15
"FLJ20366"	4.47565725298716	7.26789935131182e-18	2.98398211591103e-15
"PEPP-2"	-6.09405072926233	7.43129152575362e-18	3.00002865095761e-15
"BM039"	-4.22570785470486	7.44356201667113e-18	3.00002865095761e-15
"ZIC1"	5.30553532517303	7.64884471207986e-18	3.05473997314891e-15
"LOC157627"	4.79562670023651	7.72420665709157e-18	3.05704615002423e-15
"RPIP8"	5.44092547093294	7.8457719011547e-18	3.0774339766931e-15
"PLK1"	-4.3956421294141	8.03230401008146e-18	3.12271811917601e-15
"CR613736"	-5.17979798357008	8.23274434882432e-18	3.17256747358071e-15
"POU5F1"	-4.17982669491901	8.83238803868611e-18	3.37404903415234e-15
"HMMR"	-4.72360773619662	9.08743891062221e-18	3.3938582276583e-15
"SPTB"	6.93228767073103	9.16512883451978e-18	3.3938582276583e-15
"GFAP"	5.51696475136098	9.19922955100613e-18	3.3938582276583e-15
"SLC16A3"	-4.12711170797526	9.3070115715553e-18	3.3938582276583e-15
"SYT4"	7.21914312029156	9.36097160091644e-18	3.3938582276583e-15
"KIF2C"	-4.85829822168936	9.3958591379304e-18	3.3938582276583e-15
"TYMS"	-4.29430131839689	9.42502341795798e-18	3.3938582276583e-15
"FAM64A"	-4.50424714253403	9.60524159886267e-18	3.43063307869623e-15
"CDT1"	-5.31479920321134	9.7603749407051e-18	3.45792767354932e-15
"CALM1"	5.08104414418993	9.8622410272806e-18	3.46606488455571e-15
"ZWINT"	-4.35458487970665	1.02300675054519e-17	3.51121392291082e-15
"RASD1"	4.53740535323994	1.02891598576592e-17	3.51121392291082e-15
"SYNPR"	7.03702197285559	1.02956191301212e-17	3.51121392291082e-15
"CCNB2"	-5.9557519657295	1.03104094160273e-17	3.51121392291082e-15
"HBG1"	-9.60182480925881	1.06061324845991e-17	3.58413850908402e-15
"SGNE1"	4.70626263237123	1.09920619846229e-17	3.68620057287381e-15
"ENST00000351766"	-4.86843582585915	1.11508752721183e-17	3.68768867500616e-15
"BC056907"	-4.99308716791161	1.11643849167062e-17	3.68768867500616e-15
"KCNC1"	6.50874096133543	1.13141545586881e-17	3.70926958147556e-15
"LOC345430"	-5.2833852834139	1.19535523933183e-17	3.88850021718159e-15
"ENST00000334436"	6.23487412112594	1.21106190160553e-17	3.88850021718159e-15
"ATCAY"	5.94181729891237	1.21263920637791e-17	3.88850021718159e-15
"DKFZp761L1417"	7.45513537833645	1.23453444877743e-17	3.93002412095952e-15
"ENST00000257897"	5.6636042550152	1.28242377344242e-17	4.05310494899993e-15
"ANK3"	4.2686291548817	1.32172020184846e-17	4.14746358481464e-15
"CPE"	4.23787253351587	1.35107855839619e-17	4.20952001056049e-15
"NTS"	-4.48686672044607	1.37665695595347e-17	4.25900822056281e-15
"RASGEF1A"	3.90263939121062	1.47956598049666e-17	4.54537154469922e-15
"AATK"	4.89450443980616	1.51139492426493e-17	4.61090905679741e-15
"AFP"	-6.18745589591323	1.5994475812851e-17	4.84588494437488e-15
"GPC3"	-5.01713835810289	1.61472912771398e-17	4.85867570613719e-15
"OIP5"	-4.34507650824612	1.65770839139163e-17	4.95406716613779e-15
"CSAG1"	-4.21574250706217	1.77240834442992e-17	5.24957362732978e-15
"PACAP"	-5.45634082124198	1.78048865373458e-17	5.24957362732978e-15
"CD048206"	-4.75975829091196	1.80591891432168e-17	5.26576290809761e-15
"C20orf103"	4.03305712685885	1.80995242339746e-17	5.26576290809761e-15
"A_23_P123234"	-4.03337049796389	1.83581379728871e-17	5.27055732614759e-15
"FABP1"	-5.74448853817173	1.84583790566216e-17	5.27055732614759e-15
"DCAMKL1"	4.4051211083357	1.85512018824758e-17	5.27055732614759e-15
"KIF1B"	3.97031418610139	1.86633463429388e-17	5.27055732614759e-15
"FAM64A"	-4.6359435420793	1.87158713181813e-17	5.27055732614759e-15
"Ells1"	6.17195590065818	1.90523295627078e-17	5.33113305744787e-15
"NAP1L3"	4.20480062214955	1.94398747826625e-17	5.40514644985535e-15
"BC037528"	7.1070910104654	1.9776411122645e-17	5.46413532722589e-15
"PNMA3"	4.8881524430233	2.0250832779078e-17	5.56024584261048e-15
"THC2271508"	-3.98222855060547	2.05832331955578e-17	5.61641004667112e-15
"ENST00000273666"	5.3201756461351	2.07687260692482e-17	5.63204262313669e-15
"A_24_P264293"	-5.1086849455946	2.12287747976158e-17	5.72148040266294e-15
"NKX6-2"	6.43811335627642	2.32350358503993e-17	6.22401438990178e-15
"S100B"	4.75674897068713	2.35715325123267e-17	6.26235620437663e-15
"LOXL2"	-4.3458017031791	2.36632703541126e-17	6.26235620437663e-15
"AK054921"	8.36954426724596	2.4281071310986e-17	6.3684621063175e-15
"ENST00000327707"	-5.34842109124705	2.44667211369611e-17	6.3684621063175e-15
"NELL2"	4.94781568413556	2.44991030472254e-17	6.3684621063175e-15
"GPM6B"	5.25667116963698	2.52102106018772e-17	6.51476330559451e-15
"SEPT4"	4.95571539560198	2.55048095022291e-17	6.5523496271487e-15
"A_23_P123234"	-4.11321522208505	2.63646958377593e-17	6.70672801084098e-15
"KRT19"	-4.67300864287033	2.64943458900815e-17	6.70672801084098e-15
"MMP1"	-5.02403392900467	2.66175926566147e-17	6.70672801084098e-15
"SYT11"	5.39103622863692	2.67163825521197e-17	6.70672801084098e-15
"TTYH1"	4.14258025884034	2.69934047396858e-17	6.73776854329056e-15
"CTNND2"	4.91784948177382	2.81669424535151e-17	6.91187911867713e-15
"IMP-1"	-4.69199577507781	2.81809409022627e-17	6.91187911867713e-15
