"annotation"	"coefficient.affx"	"pvalue.affx"	"adj.pvalue.affx"
"RRM2"	-9.18906610360806	1.55175532274289e-20	3.71045996156768e-16
"HBZ"	-9.77977828563427	1.65808381516118e-20	3.71045996156768e-16
"ALB"	-11.4142066304909	8.81472600974589e-20	9.66402709450319e-16
"CADM2"	7.18127368635256	1.26271888558436e-19	9.66402709450319e-16
"IGLC1"	-9.03932977126473	1.38086136384301e-19	9.66402709450319e-16
"SYN2"	8.78017545533364	1.47737345210494e-19	9.66402709450319e-16
"APOA2"	-10.5811828474887	1.5114887313773e-19	9.66402709450319e-16
"TCEAL2"	9.02565301042868	4.44019316987024e-19	2.4840660688839e-15
"NEUROD1"	8.96861035497274	8.84600933799306e-19	4.28601305375115e-15
"MLANA"	-8.71148813624011	9.57639881524521e-19	4.28601305375115e-15
"GJB6"	6.47635431896272	1.08093504450139e-18	4.34286828170811e-15
"EVA1A"	-3.67715740598013	1.22892135096082e-18	4.34286828170811e-15
"SH3GL2"	9.14714437414354	1.2614462342972e-18	4.34286828170811e-15
"GABRA6"	8.37218126681992	2.24578291368075e-18	7.09258448862931e-15
"FGF1"	6.93035456608302	2.37708390672624e-18	7.09258448862931e-15
"ASPM"	-7.83594677800122	2.59497855037894e-18	7.25880375004748e-15
"HMGA2"	-6.88964064989422	3.14538133772923e-18	8.21268684560395e-15
"GFAP"	5.13815686137613	3.54757638327983e-18	8.21268684560395e-15
"LCK"	-6.24357607093052	3.60275358761111e-18	8.21268684560395e-15
"LHFPL3"	5.01242821908625	3.66998250317452e-18	8.21268684560395e-15
"TOP2A"	-8.88667257463851	4.53166216403008e-18	9.65805103873002e-15
"IL2RG"	-4.64130397192837	5.41620961658952e-18	1.10185398909127e-14
"GNG3"	8.5013756113996	6.61981233989441e-18	1.24145658600201e-14
"RHAG"	-7.75170148575716	7.14746817303743e-18	1.24145658600201e-14
"DTNA"	6.11050938787168	7.27083843923743e-18	1.24145658600201e-14
"NPM1"	-4.6730484405396	7.38365899575316e-18	1.24145658600201e-14
"CACNA1A"	5.75552607406957	7.72326727961059e-18	1.24145658600201e-14
"APOB"	-7.61621705206241	8.24490885725453e-18	1.24145658600201e-14
"KCND3"	7.73765434940797	8.30561308810229e-18	1.24145658600201e-14
"MALSU1"	-8.01236983028577	8.32149825276169e-18	1.24145658600201e-14
"CALY"	7.45331364342363	9.05245139085746e-18	1.30694036919102e-14
"KCNT2"	4.57896653199942	9.6709749444351e-18	1.35260673316605e-14
"MLPH"	-6.98012180653332	1.12873092981053e-17	1.53083277256364e-14
"LRRTM2"	6.6727745725567	1.32668434987769e-17	1.72878276799111e-14
"RUNDC3A"	8.59924844605964	1.35193933505427e-17	1.72878276799111e-14
"ARPP21"	4.98947879784756	1.41218810037525e-17	1.7556636283443e-14
"NDRG2"	5.39265807633471	1.52033621508297e-17	1.83903155789874e-14
"UNC5A"	5.93067673765967	2.03326740841956e-17	2.26532905370504e-14
"MOBP"	8.80085735679124	2.0368469037218e-17	2.26532905370504e-14
"SRGAP3"	5.87795800636973	2.05613951804043e-17	2.26532905370504e-14
"AFP"	-10.2440333753917	2.07521876847588e-17	2.26532905370504e-14
"CBLN3"	7.37726148135992	2.23095051784022e-17	2.37734336610612e-14
"CDCA8"	-5.98798552898473	2.28573933776737e-17	2.37908255351433e-14
"GPC3"	-8.36999808928315	3.18879159998773e-17	3.22630582672707e-14
"ERBB4"	6.50718556925589	3.24389494598977e-17	3.22630582672707e-14
"DLK1"	-9.56288244680061	3.45448163389772e-17	3.3110803279932e-14
"DSCAM-AS1"	-8.39265456924654	3.52548106566565e-17	3.3110803279932e-14
"SCN2B"	7.6146023922142	3.55514738501297e-17	3.3110803279932e-14
"SOWAHA"	5.91349650227811	3.69117135100097e-17	3.3110803279932e-14
"BIRC5"	-7.42059420711458	3.69903513271204e-17	3.3110803279932e-14
"AURKA"	-6.5499203814291	3.83020100242875e-17	3.36126423656277e-14
"CDC6"	-6.06462640451741	4.10889636714129e-17	3.53649549630338e-14
"SRCIN1"	6.16532045144867	4.2050658866214e-17	3.5509797890873e-14
"CABP1"	6.82677993346099	4.86898192272691e-17	4.01868307585991e-14
"CCNB2"	-8.17441863261061	4.93850141148214e-17	4.01868307585991e-14
"GAS2L3"	-4.85029647354451	5.14136924674279e-17	4.07199827263329e-14
"PCLO"	6.59301035194219	5.18598403655594e-17	4.07199827263329e-14
"GFAP"	11.59219722132	5.59842514390423e-17	4.25534580412597e-14
"PNMAL2"	6.08154866988137	5.61258453222455e-17	4.25534580412597e-14
"KIF2C"	-6.17729043399435	5.70472670139329e-17	4.25534580412597e-14
"DPP6"	7.89014679296293	6.06796594412175e-17	4.45209645565759e-14
"RAB38"	-6.20808031947348	7.35182719478781e-17	5.26054362017064e-14
"NCAM1"	7.46749772957879	7.40491214743833e-17	5.26054362017064e-14
"PTPRT"	5.25646108398771	8.26251073867713e-17	5.69783770769021e-14
"RRM2"	-8.94855776874294	8.27507934131432e-17	5.69783770769021e-14
"SYN2"	6.03648293458213	8.85365688072149e-17	5.94222266577846e-14
"PLP2"	-5.2851950758314	8.99624230090088e-17	5.94222266577846e-14
"ANKS1B"	7.95540232972723	9.02831221004861e-17	5.94222266577846e-14
"XKR4"	5.73600422500958	9.16325478624338e-17	5.94363233642187e-14
"CAMK2A"	7.10996153867839	9.58826868204438e-17	6.1304650447654e-14
"FGG"	-8.65555330877469	1.00904675801677e-16	6.36068967630963e-14
"SRRM4"	5.87321183287187	1.07620502262236e-16	6.68980999895641e-14
"SLC2A5"	3.50879752386734	1.09361799187148e-16	6.70492696495892e-14
"SLC24A2"	9.29401263804689	1.17044376121369e-16	7.07897040228108e-14
"SYT13"	7.03939702788391	1.18915722078372e-16	7.09625607645283e-14
"CEACAM1"	-4.70597356127528	1.24814609615155e-16	7.3502666683367e-14
"CHN1"	5.98263138301909	1.2846244288904e-16	7.4668377843401e-14
"KCNJ6"	5.91642429664813	1.35954085385769e-16	7.80097569939167e-14
"TTK"	-5.85132075899652	1.45104102736888e-16	8.06977883421295e-14
"MAGEA3"	-8.40380433636688	1.45434711317445e-16	8.06977883421295e-14
"FANCI"	-5.97856499106093	1.52351956885933e-16	8.06977883421295e-14
"SCN3B"	7.87269842767865	1.5277251582974e-16	8.06977883421295e-14
"CALM1"	2.40488197790311	1.56283132201711e-16	8.06977883421295e-14
"BSCL2"	2.36788824855472	1.57749600090361e-16	8.06977883421295e-14
"ESPL1"	-6.29538052941115	1.57842581080107e-16	8.06977883421295e-14
"RALGAPA2"	6.2360027356604	1.57850151315275e-16	8.06977883421295e-14
"TFF1"	-9.31891596592665	1.58219152146905e-16	8.06977883421295e-14
"GNL1"	3.76351867347859	1.59414911469138e-16	8.06977883421295e-14
"APOH"	-9.46386812466943	1.6047240956407e-16	8.06977883421295e-14
"DNM3"	8.90339432093258	1.65439340992993e-16	8.22711460609153e-14
"AURKB"	-6.33201194924254	1.6914454983832e-16	8.3189378819383e-14
"NDRG4"	9.06143355599254	1.78739489204516e-16	8.69528758569276e-14
"PLCXD3"	6.08642093427852	1.89613671862562e-16	9.12510698696863e-14
"GAGE2C"	-9.12608646420914	1.95567902500432e-16	9.31152877054183e-14
"AGR2"	-7.23911805003003	1.98553762440645e-16	9.35418125451947e-14
"CADPS"	6.68412970646779	2.0357869913603e-16	9.49100860263765e-14
"ZNF365"	8.33114749074509	2.07265610929875e-16	9.56327802348194e-14
"SPHKAP"	7.50515976438973	2.19331305559943e-16	1.00167264404498e-13
"LINC00599"	7.46379508709541	2.22662251537519e-16	1.00661330604174e-13
"TK1"	-6.99767090465035	2.27734479522474e-16	1.01924843655078e-13
"GRM3"	7.21629228252985	2.31664030646343e-16	1.02151317839322e-13
"DEPDC1"	-4.64308271820607	2.32805309223586e-16	1.02151317839322e-13
"KCNQ2"	7.93203954038273	2.38087780057536e-16	1.03454919264612e-13
"SCRG1"	8.3872705090219	2.53492515460009e-16	1.08818909435678e-13
"MTURN"	6.36321054982147	2.55378835212405e-16	1.08818909435678e-13
"CAMK1G"	4.97146913199644	2.57726436682945e-16	1.08818909435678e-13
"PHYHIP"	8.09926323404131	2.61181074783232e-16	1.09246917598115e-13
"YWHAH"	3.28209590168808	2.80483879483473e-16	1.16234597316318e-13
"SNAP91"	9.09608745586602	2.84750790077703e-16	1.16920241841447e-13
"ALDOC"	3.44758340009404	2.9070111479907e-16	1.1827835539952e-13
"MAPK10"	7.31245282837864	2.96152824659502e-16	1.19410034293093e-13
"NRXN3"	8.02267601799609	3.01507082784195e-16	1.19410034293093e-13
"BAALC"	6.74861061121619	3.02009040130643e-16	1.19410034293093e-13
"BRIP1"	-5.91034183659967	3.05387663836824e-16	1.19410034293093e-13
"NOL4"	6.63494419574123	3.06822637047673e-16	1.19410034293093e-13
"RBFOX3"	8.47080364274521	3.21929484206977e-16	1.24209275820409e-13
"ELAVL4"	7.7623892338694	3.73208428208133e-16	1.4222040910686e-13
"SLITRK4"	6.42843846441543	3.74966669823253e-16	1.4222040910686e-13
"LINC00844"	8.41054622549562	3.80934978104095e-16	1.43269965378377e-13
"MFAP2"	-6.11523986112582	3.91696526445528e-16	1.4586669008493e-13
"OIP5-AS1"	3.26507217041581	3.94427550595218e-16	1.4586669008493e-13
"FAM49A"	6.58518492076096	3.97616770720384e-16	1.4586669008493e-13
"CRTAC1"	4.93315380350278	4.1824414691396e-16	1.52186463733993e-13
"HJURP"	-6.35670250270008	4.32950667217663e-16	1.56267258564466e-13
"CBLN2"	6.10749176000191	4.63701825869606e-16	1.66027511348961e-13
"BRIP1"	-4.51506892018803	4.98145093636033e-16	1.7694430008551e-13
"GNAO1"	7.70096686541447	5.15030942899128e-16	1.81501770711759e-13
"GAGE7"	-8.56270084478514	5.19346004992026e-16	1.81592576557993e-13
"NRXN1"	8.40550518669868	5.28589568225799e-16	1.8238214960298e-13
"DPPA4"	-6.33384158884311	5.3293626138274e-16	1.8238214960298e-13
"DLGAP5"	-7.20000324447788	5.40689677651682e-16	1.8238214960298e-13
"AHCYL1"	1.5660955579988	5.41393938601471e-16	1.8238214960298e-13
"SRRM4"	5.90655749417328	5.46847714406689e-16	1.8238214960298e-13
"COL4A6"	-4.25636348199373	5.49339318014323e-16	1.8238214960298e-13
"GRM1"	6.75285129045964	5.53428434930486e-16	1.8238214960298e-13
